Position,Symbol,Ground ctl #33,Ground ctl #34,Ground ctl #35,Ground ctl #36,Ground ctl #37,Ground ctl #38,Ground ctl #39,Ground ctl #40,Flight #23,Flight #24,Flight #25,Flight #26,Flight #27,Flight #28,Flight #29,Flight #30
F01,Rb1,26.554354,26.621178,27.204464,30.929646,26.615667,27.744469,28.38823,26.652977,29.37118,28.140743,31.094902,29.177788,28.408035,28.290968,27.657068,31.953964
F02,Retn,25.998407,27.99489,27.82266,29.722347,26.805805,27.668472,28.116898,27.359867,28.302383,27.470724,28.952606,29.1532,28.117985,27.73486,27.526148,29.889923
F03,Runx1t1,28.669394,28.166542,30.629642,33.345516,29.357065,30.492088,31.398882,29.624231,29.58318,29.492987,30.893805,30.8824,30.80981,29.529627,28.674482,33.51655
F04,Rxra,26.575663,26.490269,26.791552,27.392023,25.717958,26.931911,27.718493,26.626274,28.63829,27.75361,29.21175,27.518606,26.6756,27.769104,26.97197,28.419933
F05,Sfrp1,28.828688,25.48419,30.65822,32.66751,30.164919,28.563448,29.58248,26.995298,30.484283,29.578476,30.503931,30.967983,33.400646,30.823399,28.362484,34.137066
F06,Sfrp5,28.912634,28.404781,29.339441,33.150887,27.133474,29.753633,33.22714,27.538586,30.306738,29.705538,31.525154,31.812374,29.114498,31.665768,29.741518,33.814987
F07,Shh,29.956697,35.490612,33.899525,39.958492,32.04185,31.487608,34.273193,33.08235,31.317127,30.331812,31.211414,31.491903,32.311363,34.089043,30.011404,32.811646
F08,Sirt1,26.992664,25.82145,28.449183,32.17425,27.941227,28.881256,29.940027,28.16701,29.880457,28.935682,30.539574,29.955982,29.316498,29.423738,28.258696,32.522167
F09,Sirt2,26.74807,25.885855,27.423489,29.965881,26.56116,27.803118,28.09395,26.65617,29.001728,27.81175,31.18808,29.1258,28.456575,28.116585,27.715387,31.517971
F10,Sirt3,27.407738,25.828058,28.621668,32.674824,27.911,29.052326,29.568436,27.558384,28.578548,28.3445,30.38553,29.534058,29.217775,29.392141,27.914131,31.278294
F11,Slc2a4,24.997868,25.925694,25.523283,27.306633,24.985292,26.078405,26.804762,25.120169,26.986744,25.859127,28.045149,25.981258,26.259138,25.236874,25.038685,28.354591
F12,Src,29.336334,28.683187,30.118935,30.607048,29.18894,29.930573,30.515419,29.733871,30.07285,29.85115,30.339775,30.22175,30.25353,30.724083,29.638288,30.589466
G01,Srebf1,24.655764,25.718111,25.511072,27.355982,24.652796,25.644444,26.37144,25.647266,26.564207,25.656374,28.687117,25.992495,25.690104,24.914665,24.53863,28.10746
G02,Taz,27.08559,25.895065,27.708918,30.102356,27.495144,28.217722,28.325922,27.247927,29.065224,28.356955,30.110914,28.861317,28.963924,28.542858,27.806833,30.610443
G03,Tcf7l2,26.555231,25.28691,27.036736,29.212736,26.07319,27.178251,27.83853,26.497187,28.156338,27.301584,28.842327,28.094784,27.857897,27.55288,27.170969,29.676895
G04,Tsc22d3,25.28852,24.189651,25.400398,32.120686,25.571157,26.337458,26.92398,24.320957,28.202415,26.9439,29.696323,28.415516,26.704605,26.5314,26.115814,31.798021
G05,Twist1,28.319475,28.2756,29.347183,31.401129,28.155142,29.320189,30.376314,29.038223,30.452538,28.959875,31.178988,30.989866,29.894945,29.952393,29.148438,32.350143
G06,Ucp1,29.525948,32.347736,32.196903,33.717175,31.391367,33.400814,31.716341,34.10568,29.951351,30.35223,24.802683,25.875912,31.096771,30.389042,24.245464,32.80922
G07,Vdr,28.958776,31.156128,34.31661,32.808258,31.3171,32.24235,33.519524,31.899235,31.913824,29.365608,31.555988,33.509354,38.00066,32.43676,29.373932,36.484505
G08,Wnt1,30.091457,33.59321,33.83496,34.990437,32.569714,33.62358,33.001797,33.215076,31.842796,30.863894,31.397434,35.659225,32.219727,35.10357,30.892103,33.895443
G09,Wnt10b,29.600018,32.352623,33.747753,33.799416,31.996649,33.525578,33.841103,32.452587,29.791538,30.434778,31.11897,33.648243,32.961884,32.96876,31.944231,34.76458
G10,Wnt3a,30.168314,33.47281,33.35072,34.657124,33.6715,32.341873,33.224052,33.546528,31.168043,30.738518,31.413788,33.295116,32.62934,33.697193,31.257696,33.42628
G11,Wnt5a,27.998404,26.343231,28.770689,31.21989,27.529316,28.603012,29.856989,28.272284,29.837732,28.167288,30.564663,28.677187,29.442612,29.194641,28.927214,31.88324
G12,Wnt5b,30.59459,30.111446,32.819405,Undetermined,31.383556,32.887245,33.294945,30.839073,31.3735,31.965452,31.3929,34.635723,32.929768,32.331432,30.55871,33.64068
H01,Actb,21.44333,20.34249,21.740194,25.821522,21.242245,22.516176,23.30461,21.143974,24.552616,23.251175,27.697609,24.158901,23.204994,22.804293,22.87089,27.129555
H02,B2m,19.58497,19.821812,20.120472,24.497162,19.397017,20.80686,21.49417,19.56818,22.531565,20.800358,26.361645,21.736881,21.73711,21.178299,21.154066,25.388348
H03,Gapdh,20.648863,20.774061,21.914192,25.621252,20.936079,22.21445,23.424839,22.108799,23.031256,21.896496,24.29565,22.48656,23.22713,21.974867,21.502209,25.46737
H04,Gusb,27.045542,26.033728,27.422667,30.148447,26.67872,27.754414,28.614157,27.138361,29.434656,28.474377,31.051378,29.761122,28.638416,28.541494,27.976278,30.75007
H05,Hsp90ab1,22.486605,20.807972,22.917744,24.921434,21.87411,23.1108,24.059973,22.494522,25.277958,23.661436,26.960835,24.142675,23.636732,23.59492,23.625772,26.441135
